,main_law,draft,category_law,reading,initiators,committee,link_to_votes,url,Абдалиев М.А.,Абдибаева А.Н.,Ажибаев Ч.И.,Азыгалиев Н.А.,Айдарбеков Ч.А.,Айдарова А.А.,Айжигитов С.А.,Акаев Ж.К.,Алиев М.К.,Алимбеков Н.К.,Алимжанов Ф.А.,Алимжанова Н.Я.,Алтынбеков А.,Атажанов Ы.Ы.,Атазов Ш.К.,Атамбаев С.А.,Ашимова Д.А.,Бакасов У.Б.,Бекешев Д.Д.,Боронбаев А.Ж.,Джумабеков Д.А.,Джусупов Э.Р.,Жакышов Р.Ш.,Жамгырчиев Э.Э.,Икрамов Т.И.,Исаева Дж.К.,Исатбек к.А.,Исираилов А.А.,Кадырбеков Н.К.,Кенжебаев А.Б.,Кожокулова Г.А.,Козуев А.А.,Кокулов Э.К.,Коргонбай у.Ж.,Култаева Г.О.,Кыдыкбаев Ж.С.,Лурова Л.Х.,Мадумаров А.К.,Мажитова Ш.,Малиев А.К.,Мамасадыков З.Д.,Маматалиев М.А.,Мамытов Т.Т.,Масабиров Т.А.,Масалиев И.А.,Маткеримов А.Т.,Матраимов И.И.,Молдобекова Г.С.,Мураталиев М.М.,Нарматова Н.А.,Нурбаев Ж.П.,Омурзаков С.А.,Ормонов У.З.,Осмонов А.Ж.,Примов У.Б.,Ражабалиев Н.А.,Раимбачаева В.К.,Рысбаев Р.Р.,Садырбаева Ж.Э.,Саккараев М.Дж.,Самаков К.К.,Самыйкожо М.,Сарбагышев М.К.,Сарыбашов Т.Н.,Сатыбалдиев Э.Р.,Сулайманов К.К.,Сулайманов Э.Н.,Султанбекова Ч.А.,Сурабалдиева Э.Ж.,Сыдыгалиев Н.О.,Сыдыков Б.У.,Сыдыков М.Ж.,Таалайбек к.Ж.,Талиева К.А.,Ташиев Ш.К.,Таштанбеков А.Д.,Темирбаева М.О.,Тентишев Б.Э.,Токторбаев Ж.Ш.,Токтошев Э.Т.,Толонов Д.Э.,Толонов Ч.Т.,Тулобаев Б.З.,Тумонбаев А.Т.,Турсунбаев А.А.,Ханджеза К.Л.,Чойбеков Б.К.,Шабазов Б.В.,Шакиев Н.Т.,Эрбаев А.Т.,Исмаилов Ф.Д.,Бакиров О.М.,Абиров Ж.Б.
322,О международной чрезвычайной помощи,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на третье чтение,"инициаторы – депутаты Кадырбеков Н.К., Айжигитов С.А., Ашимова Д.А., Түмөнбаев А.Т., Абдибаева А.Н., Раимбачаева В.К., Икрамов Т.И., вх. № 6-24983/22 от 14.12.22","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723151943_29-06-2023 11-03 Голосование 16.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,отсутствовал,за,не голосовала,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,не голосовал,за,за,за,не голосовал,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,за,за,не голосовал,за,не голосовал,за,отсутствовал,за,за,за,за,за,не голосовал,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,
323,Об образовании,Об  проекте Закона,Empty,вносится на третье чтение,"инициаторы – депутаты Акаев Ж.К., Шакиев Н.Т., Раимбачаева В.К., Айдарбеков Ч.А., Алимжанова Н.Я., Жамгырчиев Э.Э., Нурбаев Ж.П., Алимжанов Ф.А., Молдобекова Г.С., Түмөнбаев А.Т., Ражабалиев Н.А., Маматалиев М.А., Чойбеков Б.К., Икрамов Т.И., Бакиров Ө.М., Бекешев Д.Д., Сулайманов Э.Н., Исираилов А.А., Кенжебаев А.Б., Токтошев Э.Т., Самыйкожо М., Алимбеков Н.К., Азыгалиев Н.А., Сурабалдиева Э.Ж., Исатбек кызы А., Айдарова А.А., Маткеримов А.Т., Талиева К.А., Мажитова Ш., Сарбагышев М.К., Атамбаев С.А. вх. № 6-6657/23 от 12.05.23",NO,http://kenesh.kg//uploads/media/default/0001/89/030723152004_29-06-2023 11-06 Голосование 17.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,за,не голосовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,не голосовал,не голосовала,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,
324,О внесении изменений в некоторые законодательные акты Кыргызской Республики в сфере социального обеспечения,О проекте Закона,Empty,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-8061/23 от 06.06.23",NO,http://kenesh.kg//uploads/media/default/0001/89/030723152019_29-06-2023 11-09 Голосование 18.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,за,не голосовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,
325,О внесении изменений в некоторые законодательные акты Кыргызской Республики в сфере социального обеспечения,О проекте Закона,Empty,вносится на третьечтение,"инициатор – Председатель Кабинета Министров, вх. № 6-8061/23 от 06.06.23",NO,http://kenesh.kg//uploads/media/default/0001/89/030723152032_29-06-2023 11-10 Голосование 19.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,за,не голосовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,не голосовала,за,не голосовал,за,не голосовал,за,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,за,за,за,за,за,за,за,отсутствовал,
326,"О социальной защите членов семей погибших и пострадавших граждан в результате событий, произошедших в апреле 2021 года и сентябре 2022 года",О проекте Закона,Empty,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-8069/23 от 06.06.23",NO,http://kenesh.kg//uploads/media/default/0001/89/030723152057_29-06-2023 11-20 Голосование 20.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,не голосовал,за,не голосовала,за,за,за,за,за,за,не голосовал,не голосовала,за,не голосовал,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,за,за,за,за,за,за,за,отсутствовал,
327,"О социальной защите членов семей погибших и пострадавших граждан в результате событий, произошедших в апреле 2021 года и сентябре 2022 года",О проекте Закона,Empty,вносится на третье чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-8069/23 от 06.06.23",NO,http://kenesh.kg//uploads/media/default/0001/89/030723152113_29-06-2023 11-20 Голосование 21.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,не голосовал,за,против,за,за,за,за,за,за,не голосовал,не голосовала,не голосовал,не голосовал,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,не голосовал,за,,за,за,,отсутствовал,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,не голосовал,за,за,за,за,за,за,,за,за,за,за,не голосовал,за,за,за,за,отсутствовал,
328,О государственных пособиях в Кыргызской Республике,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на второе чтение,"инициаторы – депутаты Маматалиев М.А., Талиева К.А., Мамытов Т.Т., Мажитова Ш., Түлөбаев Б.З., Лурова Л.Х., Сыдыков М.Ж., Кокулов Э.К., Тентишев Б.Э., Исатбек кызы А., Абдалиев М.А., Атазов Ш.К., Исаева Д.К., Исмаилов Ф.Д., Козуев А.А., Масабиров Т.А., Маткеримов А.Т., Нарматова Н.А., Жакышов Р.Ш., Джусупов Э.Р., Алимжанов Ф.А., Жамгырчиев Э.Э., Ашимова Д.А., Алтынбеков А., Толонов Д.Э., Ханджеза К.Л., Ажибаев Ч.И., Нурбаев Ж.П., Сарбагышев М.К., вх. № 6-24400/22 от 07.12.22",Комитетом по социальной политике рассмотрен,http://kenesh.kg//uploads/media/default/0001/89/030723152124_29-06-2023 11-24 Голосование 22.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,не голосовал,не голосовал,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,за,за,за,не голосовал,за,не голосовал,за,отсутствовал,
329,О государственных пособиях в Кыргызской Республике,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на третье чтение,"инициаторы – депутаты Маматалиев М.А., Талиева К.А., Мамытов Т.Т., Мажитова Ш., Түлөбаев Б.З., Лурова Л.Х., Сыдыков М.Ж., Кокулов Э.К., Тентишев Б.Э., Исатбек кызы А., Абдалиев М.А., Атазов Ш.К., Исаева Д.К., Исмаилов Ф.Д., Козуев А.А., Масабиров Т.А., Маткеримов А.Т., Нарматова Н.А., Жакышов Р.Ш., Джусупов Э.Р., Алимжанов Ф.А., Жамгырчиев Э.Э., Ашимова Д.А., Алтынбеков А., Толонов Д.Э., Ханджеза К.Л., Ажибаев Ч.И., Нурбаев Ж.П., Сарбагышев М.К., вх. № 6-24400/22 от 07.12.22",Комитетом по социальной политике рассмотрен,http://kenesh.kg//uploads/media/default/0001/89/030723152140_29-06-2023 11-25 Голосование 23.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,не голосовал,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,за,за,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,за,за,за,за,за,за,за,отсутствовал,
330,О государственной гражданской службе и муниципальной службе,О внесении изменения в Закон Кыргызской Республики,О проекте Закона,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-6613/23 от 11.05.23",NO,http://kenesh.kg//uploads/media/default/0001/89/030723152156_29-06-2023 11-29 Голосование 24.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,не голосовал,за,отсутствовал,не голосовал,не голосовала,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,не голосовал,за,за,не голосовала,за,не голосовал,за,не голосовала,за,за,за,за,за,не голосовала,не голосовал,не голосовала,за,не голосовал,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,за,за,за,не голосовал,не голосовала,за,за,за,за,не голосовал,за,за,за,,не голосовал,за,за,за,за,за,за,за,за,отсутствовал,
331,"Строительство и оснащение нейрохирургического центра Национального госпиталя, подписанного 11 марта 2016 года в городе Бишкек",О денонсации Кредитного соглашения между Кыргызской Республикой и Кувейтским фондом арабского экономического развития по проекту,О проекте Закона,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5890/23 от 24.04.23","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152209_29-06-2023 11-32 Голосование 25.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,не голосовал,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,за,за,за,не голосовал,не голосовал,не голосовал,не голосовал,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,не голосовала,за,не голосовал,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,за,за,за,не голосовал,за,за,за,отсутствовал,
332,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Российской Федерации о строительстве и функционировании на территории Кыргызской Республики научного центра исследований инфекционных болезней, подписанного 7 марта 2023 года в городе Москва",О проекте Закона,Empty,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 94 ДСП от 25.05.23","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152226_29-06-2023 11-34 Голосование 26.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,за,не голосовала,за,за,за,не голосовал,за,за,не голосовал,за,не голосовал,за,за,за,за,за,не голосовал,не голосовал,за,за,за,за,за,не голосовал,не голосовал,за,не голосовала,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,за,за,за,за,за,за,за,отсутствовал,
333,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Российской Федерации о строительстве и функционировании на территории Кыргызской Республики научного центра исследований инфекционных болезней, подписанного 7 марта 2023 года в городе Москва",О проекте Закона,Empty,вносится на третье чтение,"инициатор – Председатель Кабинета Министров, вх. № 94 ДСП от 25.05.23","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152238_29-06-2023 11-35 Голосование 27.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,за,не голосовала,не голосовал,за,за,за,не голосовал,не голосовала,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,не голосовал,за,за,за,не голосовал,не голосовал,за,не голосовала,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,за,не голосовал,за,не голосовала,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,за,за,за,за,за,за,за,отсутствовал,
334,Об отходах производства и потребления,О проекте Закона,Empty,вносится на второе чтение,"инициаторы – депутаты Маматалиев М.А., Шакиев Н.Т., Талиева К.А., Ашимова Д.А., Алтынбеков А., Мамытов Т.Т., Мажитова Ш., Түлөбаев Б.З., Лурова Л.Х., Сыдыков М.Ж., Кокулов Э.К., Тентишев Б.Э., Исатбек кызы А., Абдалиев М.А., Атазов Ш.К., Исаева Дж.К., Исмаилов Ф.Д., Козуев А.А., Масабиров Т.А., Маткеримов А. Т., Нарматова Н.А., Жакышов Р.Ш., Джусупов Э.Р., Алимжанов Ф.А., Жамгырчиев Э.Э., Толонов Д.Э., Ханджеза К.Л., Ажибаев Ч.И., Нурбаев Ж.П., Сарбагышев М.К.,Чойбеков Б.К., Атажанов Ы.Ы., вх. № 6-8497/23 от 12.06.23","Комитетом по аграрной политике, водным ресурсам, экологии и региональному развитию рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152254_29-06-2023 11-39 Голосование 28.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,за,за,не голосовал,за,за,не голосовал,за,не голосовал,за,за,за,за,не голосовал,за,не голосовала,за,за,за,за,за,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,,за,за,,отсутствовал,не голосовал,за,за,за,за,за,за,за,за,за,не голосовала,за,за,не голосовал,не голосовала,за,за,не голосовал,за,,за,за,за,против,не голосовал,за,за,за,за,отсутствовал,
335,Об отходах производства и потребления,О проекте Закона,Empty,вносится на третье чтение,"инициаторы – депутаты Маматалиев М.А., Шакиев Н.Т., Талиева К.А., Ашимова Д.А., Алтынбеков А., Мамытов Т.Т., Мажитова Ш., Түлөбаев Б.З., Лурова Л.Х., Сыдыков М.Ж., Кокулов Э.К., Тентишев Б.Э., Исатбек кызы А., Абдалиев М.А., Атазов Ш.К., Исаева Дж.К., Исмаилов Ф.Д., Козуев А.А., Масабиров Т.А., Маткеримов А. Т., Нарматова Н.А., Жакышов Р.Ш., Джусупов Э.Р., Алимжанов Ф.А., Жамгырчиев Э.Э., Толонов Д.Э., Ханджеза К.Л., Ажибаев Ч.И., Нурбаев Ж.П., Сарбагышев М.К.,Чойбеков Б.К., Атажанов Ы.Ы., вх. № 6-8497/23 от 12.06.23","Комитетом по аграрной политике, водным ресурсам, экологии и региональному развитию рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152309_29-06-2023 11-39 Голосование 29.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,не голосовал,за,не голосовал,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,за,за,за,за,за,за,за,отсутствовал,
336,О порядке проведения проверок субъектов предпринимательства,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на второе чтение,"инициаторы – депутаты Маматалиев М.А., Шакиев Н.Т., Раимбачаева В.К., Алтынбеков А., Абиров Ж.Б., Талиева К.А., Ашимова Д.А., Ражабалиев Н.А., вх. № 6-4027/23 от 16.03.23","Комитетом по аграрной политике, водным ресурсам, экологии и региональному развитию рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152326_29-06-2023 11-42 Голосование 30.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,,за,за,за,за,за,за,за,за,за,отсутствовал,
337,О порядке проведения проверок субъектов предпринимательства,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на третье чтение,"инициаторы – депутаты Маматалиев М.А., Шакиев Н.Т., Раимбачаева В.К., Алтынбеков А., Абиров Ж.Б., Талиева К.А., Ашимова Д.А., Ражабалиев Н.А., вх. № 6-4027/23 от 16.03.23","Комитетом по аграрной политике, водным ресурсам, экологии и региональному развитию рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152746_29-06-2023 11-43 Голосование 31.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,не голосовала,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,не голосовала,за,за,за,за,,за,за,за,за,за,за,за,за,за,отсутствовал,
338,О муниципальной собственности на имущество,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на второе чтение,"инициаторы – депутаты Бекешев Д.Д., Атамбаев С.А., Абиров Ж.Б., Акаев Ж.К., Түлөбаев Б.З., вх. № 6-1848/23 от 07.02.23","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152807_29-06-2023 11-46 Голосование 32.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,за,не голосовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,не голосовал,не голосовал,за,за,за,за,за,за,за,за,не голосовала,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,не голосовала,за,за,за,не голосовала,за,за,за,не голосовала,за,за,за,за,,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,
339,О прокуратуре Кыргызской Республики,О внесении изменений в конституционный Закон Кыргызской Республики,О проекте  Закона,вносится на второе чтение,"инициатор – Президент Кыргызской Республики, вх. № 6-7625/23 от 30.05.23","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152824_29-06-2023 11-48 Голосование 33.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,за,не голосовала,за,за,за,за,за,за,не голосовал,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,не голосовала,за,за,за,не голосовала,за,за,за,не голосовала,за,за,за,за,,за,не голосовал,за,за,за,за,за,за,не голосовал,отсутствовал,
340,О прокуратуре Кыргызской Республики,О внесении изменений в конституционный Закон Кыргызской Республики,О проекте  Закона,вносится на третье чтение,"инициатор – Президент Кыргызской Республики, вх. № 6-7625/23 от 30.05.23","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152838_29-06-2023 11-49 Голосование 34.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,за,не голосовала,не голосовал,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,за,за,,отсутствовал,за,за,за,за,за,за,не голосовала,за,за,за,не голосовала,за,за,за,не голосовала,не голосовал,за,за,за,,за,не голосовал,за,за,за,за,за,за,не голосовал,отсутствовал,
341,"О государственных наградах, почетных званиях и государственных премиях Кыргызской Республики",О проекте Закона,Empty,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-4062/23 от 16.03.23","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152854_29-06-2023 12-15 Голосование 35.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,отсутствовал,за,не голосовала,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,за,не голосовал,не голосовала,не голосовал,за,за,за,за,за,не голосовал,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,не голосовал,за,против,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,,за,не голосовал,за,за,за,за,за,не голосовал,за,отсутствовал,
342,"О государственных наградах, почетных званиях и государственных премиях Кыргызской Республики",О проекте Закона,Empty,вносится на третье чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-4062/23 от 16.03.23","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/89/030723152913_29-06-2023 12-15 Голосование 36.pdf,http://kenesh.kg/ru/article/show/10909/zakonoproekti-rassmotrennie-29-iyunya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,отсутствовал,за,не голосовала,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,за,не голосовал,не голосовала,не голосовал,за,за,за,за,за,не голосовал,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,за,за,,за,за,,отсутствовал,за,за,за,за,не голосовал,за,против,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,,за,не голосовал,за,за,за,за,за,не голосовал,за,отсутствовал,
