,Абдалиев М.А.,Абдибаева А.Н.,Ажибаев Ч.И.,Азыгалиев Н.А.,Айдарбеков Ч.А.,Айдарова А.А.,Айжигитов С.А.,Акаев Ж.К.,Алиев М.К.,Алимбеков Н.К.,Алимжанов Ф.А.,Алимжанова Н.Я.,Алтынбеков А.,Атажанов Ы.Ы.,Атазов Ш.К.,Атамбаев С.А.,Ашимова Д.А.,Бакасов У.Б.,Бекешев Д.Д.,Боронбаев А.Ж.,Джумабеков Д.А.,Джусупов Э.Р.,Жакышов Р.Ш.,Жамгырчиев Э.Э.,Икрамов Т.И.,Исаева Дж.К.,Исатбек к.А.,Исираилов А.А.,Кадырбеков Н.К.,Кенжебаев А.Б.,Кожокулова Г.А.,Козуев А.А.,Кокулов Э.К.,Коргонбай у.Ж.,Култаева Г.О.,Кыдыкбаев Ж.С.,Лурова Л.Х.,Мадумаров А.К.,Мажитова Ш.,Малиев А.К.,Мамасадыков З.Д.,Маматалиев М.А.,Мамытов Т.Т.,Масабиров Т.А.,Масалиев И.А.,Маткеримов А.Т.,Матраимов И.И.,Молдобекова Г.С.,Мураталиев М.М.,Нарматова Н.А.,Нурбаев Ж.П.,Омурзаков С.А.,Ормонов У.З.,Осмонов А.Ж.,Примов У.Б.,Ражабалиев Н.А.,Раимбачаева В.К.,Рысбаев Р.Р.,Садырбаева Ж.Э.,Саккараев М.Дж.,Самаков К.К.,Самыйкожо М.,Сарбагышев М.К.,Сарыбашов Т.Н.,Сатыбалдиев Э.Р.,Сулайманов К.К.,Сулайманов Э.Н.,Султанбекова Ч.А.,Сурабалдиева Э.Ж.,Сыдыгалиев Н.О.,Сыдыков Б.У.,Сыдыков М.Ж.,Таалайбек к.Ж.,Талиева К.А.,Ташиев Ш.К.,Таштанбеков А.Д.,Темирбаева М.О.,Тентишев Б.Э.,Токторбаев Ж.Ш.,Токтошев Э.Т.,Толонов Д.Э.,Толонов Ч.Т.,Тулобаев Б.З.,Тумонбаев А.Т.,Турсунбаев А.А.,Ханджеза К.Л.,Чойбеков Б.К.,Шабазов Б.В.,Шакиев Н.Т.,Эрбаев А.Т.,Исмаилов Ф.Д.,Бакиров О.М.,Абиров Ж.Б.
778,отсутствовал,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,за,за,отсутствовал,за,не голосовал,за,за,за,за,за,не голосовала,за,не голосовал,за,за,за,не голосовала,не голосовал,отсутствовала,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,за,за,не голосовал,отсутствовал,,за,за,,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,за,отсутствовала,за,не голосовал,за,за,за,за,за,,не голосовал,за,не голосовал,за,не голосовал,отсутствовал,за,за,за,за,за
779,за,не голосовал,за,за,не голосовал,отсутствовала,за,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,отсутствовал,за,за,за,за,за,за,за,против,за,не голосовала,за,за,за,за,за,за,не голосовал,отсутствовала,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,отсутствовал,,за,за,,за,за,за,за,за,за,не голосовала,не голосовала,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,,за,за,за,за,за,за,за,за,за,против,за
780,за,не голосовал,не голосовал,за,не голосовал,отсутствовала,не голосовал,за,не голосовал,за,за,за,за,за,за,за,не голосовала,за,за,за,отсутствовал,не голосовал,не голосовал,за,не голосовал,за,за,за,за,за,не голосовала,за,за,за,за,за,за,за,отсутствовала,против,за,за,отсутствовал,за,за,за,за,за,не голосовал,за,за,не голосовал,не голосовал,за,не голосовал,против,отсутствовал,,за,за,,за,за,за,за,за,за,не голосовала,за,за,за,за,не голосовала,отсутствовала,за,за,не голосовала,за,не голосовал,за,за,,за,за,за,за,против,не голосовал,за,за,за,за,за
781,за,не голосовал,не голосовал,за,не голосовал,отсутствовала,не голосовал,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,отсутствовал,за,не голосовал,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,отсутствовал,за,за,за,за,за,не голосовал,за,за,не голосовал,не голосовал,за,не голосовал,за,отсутствовал,,за,за,,за,за,за,за,за,за,не голосовала,за,за,за,за,за,отсутствовала,за,за,за,за,не голосовал,за,за,,за,за,за,за,за,не голосовал,за,за,за,за,за
782,за,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,не голосовала,за,не голосовал,за,за,за,не голосовал,за,не голосовал,за,за,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,за,не голосовал,за,за,за,отсутствовал,,за,за,,не голосовал,за,за,за,за,за,за,не голосовала,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за
783,за,за,не голосовал,за,не голосовал,за,не голосовал,за,не голосовал,за,не голосовал,против,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,не голосовал,за,не голосовала,не голосовал,не голосовал,не голосовал,не голосовала,за,не голосовал,за,не голосовала,за,не голосовала,не голосовал,не голосовала,за,не голосовал,не голосовал,не голосовал,за,не голосовал,за,за,не голосовала,не голосовал,за,не голосовал,не голосовал,не голосовал,за,не голосовал,за,отсутствовал,,за,за,,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,за,отсутствовала,за,за,за,не голосовал,за,за,за,,не голосовал,не голосовал,за,против,за,не голосовал,за,за,не голосовал,не голосовал,за
784,за,за,не голосовал,за,не голосовал,не голосовала,не голосовал,за,за,не голосовал,за,за,не голосовал,не голосовал,за,за,за,не голосовал,за,за,не голосовал,за,не голосовал,за,не голосовал,за,за,за,за,не голосовал,не голосовала,за,за,за,за,за,за,не голосовал,не голосовала,против,не голосовал,за,не голосовал,за,не голосовал,за,за,за,за,за,за,за,за,за,за,не голосовал,отсутствовал,,за,за,,не голосовал,не голосовал,за,за,не голосовал,за,за,не голосовала,за,не голосовал,за,за,отсутствовала,за,не голосовал,за,за,за,не голосовал,за,,за,не голосовал,за,за,не голосовал,не голосовал,за,не голосовал,за,не голосовал,за
785,за,за,не голосовал,за,не голосовал,не голосовала,не голосовал,за,за,за,за,за,не голосовал,не голосовал,за,за,за,не голосовал,за,за,не голосовал,за,не голосовал,за,не голосовал,за,за,за,за,за,не голосовала,за,за,за,за,за,за,не голосовал,не голосовала,против,не голосовал,не голосовал,не голосовал,за,не голосовал,за,за,за,за,за,за,за,за,за,за,не голосовал,отсутствовал,,за,за,,за,не голосовал,за,за,за,за,за,не голосовала,за,за,за,за,отсутствовала,за,не голосовал,за,за,за,не голосовал,за,,за,за,за,за,не голосовал,не голосовал,за,не голосовал,за,за,за
786,за,за,не голосовал,за,не голосовал,за,не голосовал,за,за,не голосовал,за,за,не голосовал,за,за,за,не голосовала,не голосовал,за,не голосовал,не голосовал,за,не голосовал,за,не голосовал,не голосовала,за,за,не голосовал,не голосовал,не голосовала,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,,за,за,,не голосовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,,за,не голосовал,за,за,за,не голосовал,за,за,за,не голосовал,за
787,за,за,за,за,не голосовал,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,не голосовал,за,не голосовал,за,за,за,за,за,не голосовал,за,за,за,против,за,за,за,за,не голосовал,за,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,за,отсутствовал,,за,за,,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,,за,за,за,за,за,не голосовал,за,за,за,за,за
788,не голосовал,за,за,за,не голосовал,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,не голосовал,за,за,за,за,не голосовала,не голосовала,за,не голосовал,за,за,не голосовал,не голосовал,за,за,не голосовал,за,не голосовал,не голосовала,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,за,отсутствовал,,за,за,,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,не голосовал,за,за,за,,за,за,за,за,за,не голосовал,за,за,за,не голосовал,за
789,за,за,за,за,за,не голосовала,не голосовал,за,за,не голосовал,за,за,за,за,не голосовал,за,отсутствовала,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,против,не голосовал,за,за,не голосовала,за,не голосовала,за,за,за,не голосовал,за,за,за,за,за,за,не голосовала,за,за,за,не голосовал,за,за,за,,за,не голосовал,,за,за,за,отсутствовал,не голосовал,за,за,не голосовала,не голосовал,за,не голосовал,за,за,не голосовал,за,за,за,за,не голосовал,не голосовал,,не голосовал,за,не голосовал,не голосовал,отсутствовал,за,за,не голосовал,за,за,не голосовал
790,за,за,не голосовал,не голосовал,за,не голосовала,не голосовал,за,за,не голосовал,за,за,не голосовал,за,не голосовал,против,отсутствовала,не голосовал,против,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,за,за,не голосовала,за,не голосовала,за,за,за,не голосовал,за,за,за,за,за,за,не голосовала,не голосовал,за,за,не голосовал,за,за,за,,за,не голосовал,,за,за,за,отсутствовал,не голосовал,за,за,за,не голосовал,за,не голосовал,за,за,не голосовал,за,за,за,за,не голосовал,не голосовал,,не голосовал,за,не голосовал,не голосовал,отсутствовал,за,за,не голосовал,за,за,не голосовал
791,за,за,за,за,не голосовал,не голосовала,не голосовал,за,за,за,за,за,за,за,против,против,отсутствовала,за,против,за,за,за,за,за,за,за,не голосовала,за,против,за,за,за,не голосовал,за,за,за,не голосовала,за,не голосовала,за,против,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,против,за,за,за,,за,против,,за,за,за,отсутствовал,против,за,за,не голосовала,не голосовал,за,не голосовал,за,за,за,за,за,за,за,не голосовал,против,,не голосовал,за,против,за,отсутствовал,за,за,не голосовал,за,не голосовал,за
792,за,не голосовал,за,за,не голосовал,не голосовала,не голосовал,за,за,за,за,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,не голосовал,за,за,за,против,за,за,за,за,за,против,за,за,за,не голосовала,за,не голосовала,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,за,,за,не голосовал,,за,за,за,отсутствовал,не голосовал,за,за,не голосовала,не голосовал,за,не голосовал,за,за,за,за,за,не голосовал,за,не голосовал,не голосовал,,не голосовал,за,не голосовал,за,отсутствовал,не голосовал,за,не голосовал,за,не голосовал,за
