,Абдалиев М.А.,Абдибаева А.Н.,Ажибаев Ч.И.,Азыгалиев Н.А.,Айдарбеков Ч.А.,Айдарова А.А.,Айжигитов С.А.,Акаев Ж.К.,Алиев М.К.,Алимбеков Н.К.,Алимжанов Ф.А.,Алимжанова Н.Я.,Алтынбеков А.,Атажанов Ы.Ы.,Атазов Ш.К.,Атамбаев С.А.,Ашимова Д.А.,Бакасов У.Б.,Бекешев Д.Д.,Боронбаев А.Ж.,Джумабеков Д.А.,Джусупов Э.Р.,Жакышов Р.Ш.,Жамгырчиев Э.Э.,Икрамов Т.И.,Исаева Дж.К.,Исатбек к.А.,Исираилов А.А.,Кадырбеков Н.К.,Кенжебаев А.Б.,Кожокулова Г.А.,Козуев А.А.,Кокулов Э.К.,Коргонбай у.Ж.,Култаева Г.О.,Кыдыкбаев Ж.С.,Лурова Л.Х.,Мадумаров А.К.,Мажитова Ш.,Малиев А.К.,Мамасадыков З.Д.,Маматалиев М.А.,Мамытов Т.Т.,Масабиров Т.А.,Масалиев И.А.,Маткеримов А.Т.,Матраимов И.И.,Молдобекова Г.С.,Мураталиев М.М.,Нарматова Н.А.,Нурбаев Ж.П.,Омурзаков С.А.,Ормонов У.З.,Осмонов А.Ж.,Примов У.Б.,Ражабалиев Н.А.,Раимбачаева В.К.,Рысбаев Р.Р.,Садырбаева Ж.Э.,Саккараев М.Дж.,Самаков К.К.,Самыйкожо М.,Сарбагышев М.К.,Сарыбашов Т.Н.,Сатыбалдиев Э.Р.,Сулайманов К.К.,Сулайманов Э.Н.,Султанбекова Ч.А.,Сурабалдиева Э.Ж.,Сыдыгалиев Н.О.,Сыдыков Б.У.,Сыдыков М.Ж.,Таалайбек к.Ж.,Талиева К.А.,Ташиев Ш.К.,Таштанбеков А.Д.,Темирбаева М.О.,Тентишев Б.Э.,Токторбаев Ж.Ш.,Токтошев Э.Т.,Толонов Д.Э.,Толонов Ч.Т.,Тулобаев Б.З.,Тумонбаев А.Т.,Турсунбаев А.А.,Ханджеза К.Л.,Чойбеков Б.К.,Шабазов Б.В.,Шакиев Н.Т.,Эрбаев А.Т.,Исмаилов Ф.Д.,Бакиров О.М.,Абиров Ж.Б.
0,за,за,отсутствовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,,,
1,за,за,отсутствовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,не голосовала,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,,,
2,за,за,отсутствовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,не голосовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,не голосовала,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,против,за,за,за,за,,,
3,за,за,отсутствовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,не голосовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,не голосовала,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,за,за,за,за,против,за,за,за,за,,,
4,за,за,отсутствовал,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,не голосовала,за,за,против,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,против,за,за,за,за,за,за,,,
5,за,за,отсутствовал,за,за,отсутствовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,не голосовала,за,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,,
6,за,за,отсутствовал,за,за,отсутствовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,не голосовала,за,не голосовал,за,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,,
7,за,за,отсутствовал,за,за,отсутствовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,,
8,за,за,отсутствовал,за,за,отсутствовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,,
9,за,за,за,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,не голосовала,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,за,отсутствовал,не голосовала,за,не голосовал,за,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,,
10,за,отсутствовал,отсутствовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,не голосовал,отсутствовал,за,не голосовал,не голосовал,за,за,не голосовала,не голосовал,за,за,отсутствовал,за,не голосовал,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,не голосовал,за,за,отсутствовал,не голосовал,за,отсутствовал,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,отсутствовал,за,за,не голосовал,отсутствовал,за,отсутствовал,,,
11,за,отсутствовал,отсутствовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,не голосовал,отсутствовал,за,не голосовал,не голосовал,за,за,не голосовала,не голосовал,за,за,отсутствовал,за,не голосовал,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,не голосовал,за,за,отсутствовал,не голосовал,за,за,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,отсутствовал,за,за,за,отсутствовал,за,отсутствовал,,,
12,за,за,отсутствовал,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,против,не голосовала,за,против,за,отсутствовал,за,не голосовал,отсутствовал,отсутствовал,отсутствовала,не голосовала,за,отсутствовал,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,не голосовала,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,не голосовал,отсутствовал,за,за,,,
13,за,за,отсутствовал,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,не голосовал,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,не голосовал,за,за,не голосовал,отсутствовал,за,не голосовал,,,
14,за,за,отсутствовал,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,не голосовал,отсутствовал,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,за,за,за,за,за,не голосовал,за,за,не голосовала,не голосовал,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,не голосовал,за,отсутствовал,за,за,,,
15,за,за,не голосовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,против,отсутствовал,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,за,за,не голосовала,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,не голосовал,за,за,не голосовал,не голосовал,за,не голосовал,за,за,за,не голосовала,за,за,за,за,за,за,за,за,не голосовала,отсутствовала,за,за,за,за,против,за,за,за,за,отсутствовал,отсутствовал,за,не голосовал,за,за,за,за,за,за,за,за,,,
16,за,за,не голосовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,за,отсутствовал,за,не голосовал,за,за,за,за,за,за,не голосовал,отсутствовал,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,не голосовала,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,отсутствовал,за,за,за,,,
17,за,за,не голосовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,не голосовал,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,не голосовала,за,отсутствовал,отсутствовал,за,за,за,за,за,за,отсутствовал,за,за,за,,,
18,за,за,за,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,не голосовал,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,не голосовала,за,отсутствовал,отсутствовал,за,за,за,за,за,за,отсутствовал,за,за,за,,,
19,за,за,не голосовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,не голосовал,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,не голосовала,за,отсутствовал,отсутствовал,за,за,за,за,за,за,отсутствовал,за,за,за,,,
20,за,за,за,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,не голосовал,отсутствовал,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,не голосовала,не голосовал,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,отсутствовал,за,за,за,,,
21,за,за,не голосовал,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,не голосовал,за,не голосовал,за,не голосовал,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,отсутствовал,за,за,за,,,
22,за,за,не голосовал,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,за,за,за,не голосовал,за,отсутствовал,за,за,не голосовал,за,за,не голосовал,отсутствовал,за,отсутствовал,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,отсутствовал,за,за,за,,,
23,за,за,не голосовал,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,отсутствовала,за,за,отсутствовал,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,отсутствовал,за,не голосовал,за,за,за,не голосовал,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,отсутствовал,за,за,за,,,
24,за,за,за,за,отсутствовал,не голосовала,отсутствовал,отсутствовал,против,за,отсутствовал,не голосовала,за,за,за,против,за,за,против,за,отсутствовал,за,не голосовал,отсутствовал,отсутствовал,за,за,не голосовал,против,за,отсутствовала,за,не голосовал,за,за,за,за,отсутствовал,за,не голосовал,за,за,за,за,отсутствовал,за,за,не голосовала,не голосовал,за,не голосовал,за,за,за,за,не голосовал,против,за,за,за,за,против,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,не голосовала,за,за,за,не голосовала,за,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,,,
25,за,за,за,за,отсутствовал,не голосовала,отсутствовал,отсутствовал,против,за,отсутствовал,не голосовала,за,за,за,против,за,за,против,за,отсутствовал,не голосовал,не голосовал,отсутствовал,отсутствовал,за,за,не голосовал,против,за,отсутствовала,за,не голосовал,за,за,за,за,отсутствовал,за,не голосовал,за,за,за,за,отсутствовал,за,за,не голосовала,не голосовал,за,не голосовал,за,за,за,за,не голосовал,за,за,за,за,за,против,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,за,за,за,,,
26,за,за,за,за,за,не голосовала,отсутствовал,отсутствовал,за,не голосовал,отсутствовал,не голосовала,не голосовал,за,за,за,не голосовала,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,не голосовала,не голосовал,за,за,отсутствовала,за,не голосовал,не голосовал,за,за,не голосовала,отсутствовал,не голосовала,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,не голосовала,за,за,не голосовал,за,за,за,за,не голосовал,не голосовала,за,за,за,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,не голосовал,не голосовал,за,не голосовал,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,,,
27,за,за,за,за,за,не голосовала,отсутствовал,отсутствовал,не голосовал,за,отсутствовал,не голосовала,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,не голосовала,за,не голосовал,за,за,отсутствовала,не голосовал,не голосовал,за,за,за,не голосовала,отсутствовал,не голосовала,за,не голосовал,за,за,за,отсутствовал,не голосовал,не голосовал,не голосовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,за,за,,,
28,за,за,за,за,за,не голосовала,отсутствовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,за,за,не голосовал,отсутствовала,за,не голосовал,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,не голосовал,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,за,не голосовал,за,за,за,не голосовал,за,за,,,
29,за,за,за,за,не голосовал,не голосовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,не голосовала,не голосовала,за,за,не голосовал,отсутствовала,не голосовал,не голосовал,за,за,за,за,отсутствовал,за,за,не голосовал,не голосовал,за,за,отсутствовал,не голосовал,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,за,за,не голосовала,не голосовал,не голосовал,не голосовал,за,за,за,не голосовал,за,за,не голосовал,за,за,за,,,
30,за,за,не голосовал,за,не голосовал,не голосовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,не голосовал,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,не голосовала,за,за,за,не голосовал,отсутствовала,не голосовал,за,за,за,за,за,отсутствовал,не голосовала,не голосовал,не голосовал,за,за,за,отсутствовал,не голосовал,за,за,не голосовал,за,не голосовал,за,не голосовал,за,за,не голосовал,за,за,за,не голосовал,не голосовал,не голосовал,не голосовал,за,отсутствовал,не голосовал,не голосовал,за,отсутствовала,за,за,за,за,за,за,не голосовал,не голосовала,за,не голосовал,не голосовал,не голосовал,за,за,не голосовал,за,за,не голосовал,за,за,за,,,
31,за,за,не голосовал,за,не голосовал,не голосовала,не голосовал,отсутствовал,за,за,отсутствовал,за,против,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,не голосовала,не голосовала,за,за,не голосовал,отсутствовала,не голосовал,не голосовал,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовал,за,за,отсутствовал,не голосовал,не голосовал,за,за,за,не голосовал,за,не голосовал,за,за,не голосовал,за,за,за,за,не голосовал,не голосовал,не голосовал,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,за,за,за,не голосовал,не голосовал,не голосовал,за,за,за,не голосовал,за,за,не голосовал,не голосовал,за,за,,,
32,за,за,не голосовал,за,не голосовал,не голосовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,не голосовала,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,не голосовала,не голосовала,за,за,не голосовал,отсутствовала,не голосовал,не голосовал,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовал,за,за,отсутствовал,не голосовал,не голосовал,за,не голосовал,за,не голосовал,за,не голосовал,за,за,не голосовал,за,за,не голосовала,за,за,не голосовал,не голосовал,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,не голосовал,не голосовал,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,,,
33,за,за,не голосовал,за,не голосовал,за,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,не голосовал,за,отсутствовал,не голосовал,за,отсутствовал,отсутствовал,за,не голосовала,за,за,не голосовал,отсутствовала,за,за,не голосовал,за,за,не голосовала,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,не голосовал,не голосовал,за,не голосовал,не голосовала,не голосовал,за,не голосовал,за,за,за,за,за,за,не голосовал,за,не голосовал,за,за,не голосовал,не голосовал,за,за,отсутствовала,за,за,не голосовал,за,за,не голосовал,за,за,за,за,не голосовал,не голосовал,за,не голосовал,не голосовал,не голосовал,за,не голосовал,за,за,за,,,
34,за,за,не голосовал,за,не голосовал,против,не голосовал,отсутствовал,не голосовал,за,отсутствовал,против,за,за,не голосовал,за,не голосовала,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,не голосовала,за,не голосовал,за,не голосовал,отсутствовала,не голосовал,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,за,не голосовала,не голосовал,за,не голосовал,за,не голосовал,за,за,за,не голосовала,за,за,не голосовал,за,не голосовал,за,за,не голосовал,не голосовал,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,против,против,за,за,не голосовал,не голосовал,за,против,за,за,против,,,
35,за,за,не голосовал,за,не голосовал,за,не голосовал,отсутствовал,не голосовал,за,отсутствовал,не голосовала,за,за,не голосовал,за,за,за,за,за,отсутствовал,не голосовал,за,отсутствовал,отсутствовал,не голосовала,за,не голосовал,не голосовал,не голосовал,отсутствовала,за,за,не голосовал,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,за,не голосовала,за,за,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,не голосовал,не голосовал,не голосовал,за,за,не голосовал,не голосовал,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,не голосовал,не голосовал,за,не голосовал,за,за,за,,,
36,за,за,не голосовал,за,не голосовал,за,не голосовал,отсутствовал,не голосовал,за,отсутствовал,не голосовала,за,за,не голосовал,за,за,за,за,за,отсутствовал,не голосовал,за,отсутствовал,отсутствовал,не голосовала,за,не голосовал,не голосовал,не голосовал,отсутствовала,не голосовал,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,за,не голосовала,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,не голосовал,не голосовал,за,не голосовал,за,за,за,за,отсутствовала,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,,,
37,за,за,не голосовал,за,не голосовал,за,не голосовал,отсутствовал,не голосовал,за,отсутствовал,не голосовала,не голосовал,за,за,за,за,за,за,не голосовал,отсутствовал,не голосовал,за,отсутствовал,отсутствовал,не голосовала,не голосовала,не голосовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,не голосовал,не голосовал,за,за,отсутствовал,за,за,не голосовала,за,за,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,за,не голосовал,не голосовал,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,не голосовал,за,не голосовал,за,за,за,за,,,
38,за,за,не голосовал,за,не голосовал,не голосовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,не голосовала,не голосовала,за,за,не голосовал,отсутствовала,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,не голосовал,не голосовал,за,за,отсутствовал,за,за,за,за,не голосовала,не голосовал,не голосовал,за,не голосовал,за,за,за,не голосовал,за,не голосовал,не голосовал,не голосовал,за,за,за,за,не голосовал,не голосовала,отсутствовала,за,за,за,за,за,не голосовал,за,за,не голосовал,за,не голосовал,за,за,за,не голосовал,за,не голосовал,за,за,за,не голосовал,,,
39,за,за,не голосовал,за,не голосовал,не голосовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,не голосовала,за,не голосовал,не голосовал,отсутствовала,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,не голосовал,не голосовал,за,за,отсутствовал,за,не голосовал,за,за,не голосовала,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,за,не голосовал,не голосовал,за,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,за,за,за,не голосовал,не голосовал,не голосовал,за,за,не голосовал,не голосовал,за,за,за,за,за,не голосовал,,,
40,за,за,не голосовал,за,не голосовал,не голосовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,не голосовала,за,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,не голосовала,не голосовала,не голосовал,не голосовал,за,отсутствовала,не голосовал,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,за,не голосовала,за,не голосовала,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,за,за,за,не голосовал,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,,,
41,за,отсутствовал,за,за,за,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,отсутствовал,отсутствовала,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,против,за,за,за,за,отсутствовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,,,
