|main_law|draft|category_law|reading|initiators|committee|link_to_votes|url
12|Об игорной деятельности в Кыргызской Республике|О проекте Закона О внесении изменений в Закон Кыргызской Республики|Empty|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-12940/23 от 16.10.2023|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143632_21-12-2023 02-26 Голосование 20.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
13|О финансовой аренде (лизинге))|О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Гражданский кодекс, Закон|О проекте Закона|вносится на второе чтение|инициаторы – депутаты Малиев А.К., Маткеримов А.Т., Түмөнбаев А.Т., Жамгырчиев Э.Э., вх. № 6-18174/22 от 16.09.2022|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143650_21-12-2023 02-30 Голосование 21.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
14|О Регламенте Жогорку Кенеша Кыргызской Республики|О внесении изменений в Закон Кыргызской Республики|О проекте Закона|вносится на первое чтение|инициаторы – депутаты Маматалиев М.А., Азыгалиев Н.А., вх.№ 6-13410/23 от 24.10.2023|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143705_21-12-2023 02-55 Голосование 22.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
15|Об основах Вакф (вакуф)|О проекте Закона|Empty|вносится на первое чтение|инициаторы – депутаты Маматалиев М.А., Нурбаев Ж.П., Алимжанов Ф.А., Мамытов Т.Т., Атазов Ш.К., Исмаилов Ф.Д., Козуев А.А., Ашимова Д.А., Ханджеза К.Л., вх. № 6-7088/23 от 19.05.2023|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143718_21-12-2023 03-52 Голосование 24.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
16|О внесении изменений в некоторые законодательные акты Кыргызской Республики по вопросам зелёной экологии|О проекте Закона|Empty|вносится на первое чтение|инициаторы – депутаты Маматалиев М.А., Сыдыков Б.У., Мамытов Т.Т., Мажитова Ш., Түлөбаев Б.З., Лурова Л.Х., Сыдыков М.Ж., Кокулов Э.К., Тентишев Б.Э., Исатбек кызы А., Абдалиев М.А., Атазов Ш.К., Исаева Дж.К., Исмаилов Ф.Д., Козуев А.А., Масабиров Т.А., Маткеримов А.Т., Нарматова Н.А., Талиева К.А., Жакышов Р.Ш., Джусупов Э.Р., Алимжанов Ф.А., Жамгырчиев Э.Э., Ашимова Д.А., Алтынбеков А., Толонов Д.Э., Ханджеза К.Л., Ажибаев Ч.И., Нурбаев Ж.П., Сарбагышев М.К., Ражабалиев Н.А., вх.№ 6-9775/23 от 29.06.2023|Комитетом по транспорту, коммуникациям, архитектуре и строительству, Комитетом по аграрной политике, водным ресурсам, экологии и региональному развитию, Комитетом по бюджету, экономической и фискальной политике, Комитетом по правопорядку, борьбе с преступностью и противодействию коррупции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143735_21-12-2023 04-02 Голосование 25.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
17|О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Азербайджанской Республики об инвестициях для строительства пятизвездочного отеля на берегу озера Иссык-Куль, подписанного 12 октября 2023 года в городе Бишкек|О проекте Закона|Empty|вносится на первое чтение|инициатор – Председатель Кабинета Министров, вх. № 6-15483/23, от 07.12.2023|Комитетом по международным делам, обороне, безопасности и миграции, Комитетом по транспорту, коммуникациям, архитектуре и строительству, Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143746_21-12-2023 04-07 Голосование 26.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
18|О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Азербайджанской Республики об инвестициях для строительства пятизвездочного отеля на берегу озера Иссык-Куль, подписанного 12 октября 2023 года в городе Бишкек|О проекте Закона|Empty|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-15483/23, от 07.12.2023|Комитетом по международным делам, обороне, безопасности и миграции, Комитетом по транспорту, коммуникациям, архитектуре и строительству, Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143758_21-12-2023 04-08 Голосование 27.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
19|О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Азербайджанской Республики об инвестициях для строительства пятизвездочного отеля на берегу озера Иссык-Куль, подписанного 12 октября 2023 года в городе Бишкек|О проекте Закона|Empty|вносится на третье чтение|инициатор – Председатель Кабинета Министров, вх. № 6-15483/23, от 07.12.2023|Комитетом по международным делам, обороне, безопасности и миграции, Комитетом по транспорту, коммуникациям, архитектуре и строительству, Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143810_21-12-2023 04-08 Голосование 28.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
20|О недрах», О биосферных территориях»)»|О проекте Закона|О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Законы|вносится на первое чтение|инициаторы – депутаты Маматалиев М.А., Сулайманов К.К., вх. № 6-15372/23 от 06.12.2023|Комитетом по топливно-энергетическому комплексу, недропользованию и промышленной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143827_21-12-2023 04-14 Голосование 29.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
21|Об утверждении Положения о комитете Жогорку Кенеша Кыргызской Республики (типового образца)|О проекте постановления Жогорку Кенеша|Empty|NO|инициатор – депутат Азыгалиев Н.А., вх. №6-15060/23 от 29.11.2023|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143839_21-12-2023 04-20 Голосование 30.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
